key,es,en,de,pt,fr,it
mainMenuQuestionLoggedOut,"Menu principal

Elija una opcion

 - {0}: Crear y cambiar de cuenta
 - {1}: Cambiar idioma del menu

Usted no esta logueado actualmente. Ingrese a su cuenta para acceder a mas opciones
","Main Menu

Choose an option

- {0}: Create and switch accounts
- {1}: Change menu language

You are not currently logged in. Log in to your account to access more options.
","Hauptmenü

Option auswählen

- {0}: Konten erstellen und wechseln
- {1}: Menüsprache ändern

Sie sind derzeit nicht angemeldet. Melden Sie sich in Ihrem Konto an, um auf weitere Optionen zuzugreifen.
","Menu Principal

Escolha uma opção

- {0}: Criar e alternar contas
- {1}: Alterar idioma do menu

Você não está conectado no momento. Faça login na sua conta para acessar mais opções.
","Menu principal

Choisir une option

- {0} : Créer et changer de compte
- {1} : Changer la langue du menu

Vous n'êtes pas connecté(e). Connectez-vous à votre compte pour accéder à plus d'options.","Menu principale

Scegli un'opzione

- {0}: Crea e cambia account
- {1}: Cambia lingua del menu

Non hai effettuato l'accesso. Accedi al tuo account per accedere ad altre opzioni."
requestInputUsername,Escriba su nombre de usuario,Enter your username,Geben Sie Ihren Benutzernamen ein,Digite seu nome de usuário,Entrez votre nom d'utilisateur,Inserisci il tuo nome utente
requestInputPassword,Escriba su contraseña,Enter your password,Geben Sie Ihr Passwort ein,Digite sua senha,Entrez votre mot de passe,Inserisci la tua password
successfulLogin,"Login exitoso:
UserID: {0}
Username: {1}","Successful login:
UserID: {0}
Username: {1}","Erfolgreiche Anmeldung:
Benutzer-ID: {0}
Benutzername: {1}","Login bem-sucedido:
ID do usuário: {0}
Nome de usuário: {1}","Connexion réussie :
ID utilisateur : {0}
Nom d’utilisateur : {1}","Accesso riuscito:
ID utente: {0}
Nome utente: {1}"
unknownErrorInServer,Error desconocido en el servidor,Unknown error on the server,Unbekannter Fehler auf dem Server,Erro desconhecido no servidor,Erreur inconnue sur le serveur,Errore sconosciuto sul server
serverUnavailable,Error: el servidor no está disponible. Intente más tarde.,Error: The server is unavailable. Please try again later.,Fehler: Der Server ist nicht verfügbar. Bitte versuchen Sie es später erneut.,Erro: O servidor não está disponível. Tente novamente mais tarde.,Erreur : le serveur est indisponible. Veuillez réessayer ultérieurement.,Errore: il server non è disponibile. Riprova più tardi.
internalBotError,"Error interno en el bot. 
Intente de nuevo o escriba /start para volver al inicio","Internal error in the bot.
Please try again or type /start to return to the home screen.","Interner Fehler im Bot.
Bitte versuchen Sie es erneut oder geben Sie /start ein, um zum Startbildschirm zurückzukehren.","Erro interno no bot.
Tente novamente ou digite /start para retornar à tela inicial.",Erreur interne dans le bot. Veuillez réessayer ou saisir /start pour revenir à l'écran d'accueil.,"Errore interno nel bot.
Riprova o digita /start per tornare alla schermata iniziale."
successfulRegister,"Cuenta creada exitosamente
ID de usuario: {0}","Account created successfully
User ID: {0}","Konto erfolgreich erstellt
Benutzer-ID: {0}","Conta criada com sucesso
ID do usuário: {0}","Compte créé avec succès
Identifiant utilisateur : {0}","Account creato con successo
ID utente: {0}"
requestInputOneTimeCode,Ingrese el codigo de un solo uso,Enter the single-use code,Geben Sie den Einmalcode ein,Digite o código de uso único,Entrez le code à usage unique,Inserisci il codice monouso
/oneTimeCode,🔄 Codigo de un solo uso,🔄 Single-use code,🔄 Einmalcode,🔄 Código de uso único,🔄 Code à usage unique,🔄 Codice monouso
/registerUser,👤+ Registrarse,👤+ Register,👤+ Registrieren,👤+ Cadastre-se,👤+ S'inscrire,👤+ Registrati
/loginUser,🔑 Loguearse,🔑 Log in,🔑 Einloggen,🔑 Entrar,🔑 Connectez-vous,🔑 Accedi
userMenuQuestion,"Menu de usuario
Por favor elija una opcion
Aclaración: Se recomienda loguearse mediante un codigo de un solo uso por motivos de seguridad","User Menu
Please choose an option
Note: Logging in using a one-time code is recommended for security reasons.","Benutzermenü
Bitte wählen Sie eine Option.
Hinweis: Aus Sicherheitsgründen wird die Anmeldung mit einem Einmalcode empfohlen.","Menu do Usuário
Escolha uma opção
Observação: por motivos de segurança, é recomendável fazer login com um código de uso único.","Menu utilisateur
Veuillez choisir une option
Remarque : Pour des raisons de sécurité, il est recommandé de se connecter avec un code à usage unique.","Menu utente
Seleziona un'opzione
Nota: per motivi di sicurezza, si consiglia di effettuare l'accesso utilizzando un codice monouso."
mainMenuQuestionLoggedIn,"Menu principal

Elija una opcion

 - {0}: Crear y cambiar de cuenta
 - {1}: Crear y gestionar eventos
 - {2}: Ver inscripciones
 - {3}: Buscar nuevos eventos
 - {4}: Cambiar idioma del menu","Main Menu

Choose an option

- {0}: Create and switch accounts
- {1}: Create and manage events
- {2}: View registrations
- {3}: Search for new events
- {4}: Change menu language","Hauptmenü

Option auswählen

- {0}: Konten erstellen und wechseln
- {1}: Veranstaltungen erstellen und verwalten
- {2}: Anmeldungen anzeigen
- {3}: Nach neuen Veranstaltungen suchen
- {4}: Menüsprache ändern","Menu Principal

Escolha uma opção

- {0}: Criar e alternar contas
- {1}: Criar e gerenciar eventos
- {2}: Ver inscrições
- {3}: Buscar novos eventos
- {4}: Alterar idioma do menu","Menu principal

Choisir une option

- {0} : Créer et changer de compte
- {1} : Créer et gérer des événements
- {2} : Consulter les inscriptions
- {3} : Rechercher de nouveaux événements
- {4} : Changer la langue du menu","Menu principale

Scegli un'opzione

- {0}: Crea e cambia account
- {1}: Crea e gestisci eventi
- {2}: Visualizza le registrazioni
- {3}: Cerca nuovi eventi
- {4}: Cambia lingua del menu"
mustLoginFirst,Debe iniciar sesion primero,You must log in first,Sie müssen sich zuerst anmelden,Você deve fazer login primeiro,Vous devez d'abord vous connecter,Devi prima effettuare l'accesso
mustLoginBeforeMenu,Debe iniciar sesion antes de entrar a este menu,You must log in before entering this menu.,"Sie müssen sich anmelden, bevor Sie dieses Menü aufrufen können.",Você deve efetuar login antes de entrar neste menu.,Vous devez vous connecter avant d'entrer dans ce menu.,Devi effettuare l'accesso prima di entrare in questo menu.
